movie,reviewer,metascore,review_score,review_text,review_date,details
April and the Extraordinary World,Glenn Kenny,85,100,"Influences aside, the movie so teems with delightful detail and has such an exuberant sense of play that it feels entirely fresh.","Mar 24, 2016",http://www.metacritic.com/movie/april-and-the-extraordinary-world/details
Post Tenebras Lux,Manohla Dargis,69,100,"Life and death, nature and culture, sex and money, man and beast, God and the Devil — Post Tenebras Lux embraces the world even if it doesn’t open itself up to ready interpretation.","Apr 30, 2013",http://www.metacritic.com/movie/post-tenebras-lux/details
Trophy,Jeannette Catsoulis,80,100,"The intimacy of the film’s images and the surprising candor of its participants are disarming: Whatever your initial response, be prepared to re-evaluate.","Sep  7, 2017",http://www.metacritic.com/movie/trophy/details
At Berkeley,Stephen Holden,81,100,"A documentary necessarily conveys a point of view, and although Mr. Wiseman, as is his wont, is neither seen nor heard in a film that proceeds without commentary or subtitles, his spirit is palpable. Without overtly editorializing, the film quietly and steadfastly champions state-funded public education available to all.","Nov  8, 2013",http://www.metacritic.com/movie/at-berkeley/details
Tangerine,Manohla Dargis,85,100,"Tangerine encompasses dizzying multitudes — it’s a neo-screwball chase flick with a dash of Rainer Werner Fassbinder — but mostly, movingly, it is a female-friendship movie about two people who each started life with an XY chromosome set.","Jul  9, 2015",http://www.metacritic.com/movie/tangerine/details
Lady Bird,A.O. Scott,94,100,"You might think you’ve seen this all before. You probably have, but never quite like this. What Ms. Gerwig has done — and it’s by no means a small accomplishment — is to infuse one of the most convention-bound, rose-colored genres in American cinema with freshness and surprise.","Oct 31, 2017",http://www.metacritic.com/movie/lady-bird/details
The Big Short,A.O. Scott,81,100,"A true crime story and a madcap comedy, a heist movie and a scalding polemic, The Big Short will affirm your deepest cynicism about Wall Street while simultaneously restoring your faith in Hollywood.","Dec 10, 2015",http://www.metacritic.com/movie/the-big-short/details
What Richard Did,Stephen Holden,80,100,Every detail of What Richard Did rings true.,"May  9, 2013",http://www.metacritic.com/movie/what-richard-did/details
Up the Yangtze,Stephen Holden,84,100,An astonishing documentary of culture clash and the erasure of history amid China’s economic miracle.,,http://www.metacritic.com/movie/up-the-yangtze/details
Under the Sun,Glenn Kenny,81,100,"The movie raises disquieting questions, including a few that Mr. Mansky might not have meant to.","Jul  6, 2016",http://www.metacritic.com/movie/under-the-sun/details
Ransom,Elvis Mitchell,60,100,"Mr. Howard has made Ransom in the same clean, swift, logical style that sent his ""Apollo 13"" into orbit, resulting in a spellbinding crime tale that delivers surprises right down to the wire.",,http://www.metacritic.com/movie/ransom/details
Alexandra,Manohla Dargis,85,100,"A film of startling originality and beauty -- feels like a communiqué from another time, another place, anywhere but here.",,http://www.metacritic.com/movie/alexandra/details
Life Itself,,87,100,"Life Itself is a work of deftness and delicacy, by turns a film about illness and death, about writing, about cinema and, finally, and very movingly a film about love.","Jul  3, 2014",http://www.metacritic.com/movie/life-itself/details
Hell or High Water,Jeannette Catsoulis,88,100,"Furnished with faces as beaten as the vehicles the brothers drive and discard, Hell or High Water is a chase movie disguised as a western. Its humor is as dry as prairie dust...and its morals are steadfastly gray.","Aug 11, 2016",http://www.metacritic.com/movie/hell-or-high-water/details
The Kid with a Bike,Manohla Dargis,87,100,A quietly rapturous film about love and redemption.,"Mar 15, 2012",http://www.metacritic.com/movie/the-kid-with-a-bike/details
Ixcanul,Jeannette Catsoulis,83,100,"More than a fable about the clash of tradition and modernity, Ixcanul is finally a painful illustration of the ease with which those who have can prey on those who don’t.","Aug 18, 2016",http://www.metacritic.com/movie/ixcanul/details
Caucus,Miriam Bale,74,100,The film is a testament to the power of observational documentary to tenderly present hypocrisy and to show eccentricity peeking out from behind social masks.,"Nov  8, 2013",http://www.metacritic.com/movie/caucus/details
Brazil,Janet Maslin,88,100,"Brazil may not be the best film of the year, but it's a remarkable accomplishment for Mr. Gilliam, whose satirical and cautionary impulses work beautifully together. His film's ambitious visual style bears this out, combining grim, overpowering architecture with clever throwaway touches.",,http://www.metacritic.com/movie/brazil/details
Avatar,Manohla Dargis,83,100,Glorious and goofy and blissfully deranged.,,http://www.metacritic.com/movie/avatar/details
Beasts of the Southern Wild,A.O. Scott,86,100,"This movie is a blast of sheer, improbable joy, a boisterous, thrilling action movie with a protagonist who can hold her own alongside Katniss Everdeen, Princess Merida and the other brave young heroines of 2012.","Jun 26, 2012",http://www.metacritic.com/movie/beasts-of-the-southern-wild/details
Sweetgrass,Manohla Dargis,80,100,"In Sweetgrass, a graceful and often moving meditation on a disappearing way of life, there is little here that is objective and much that is magnificent.","Jul  9, 2013",http://www.metacritic.com/movie/sweetgrass/details
A Ghost Story,A.O. Scott,84,100,"A Ghost Story is suspenseful, dourly funny and at times piercingly emotional.","Jul  6, 2017",http://www.metacritic.com/movie/a-ghost-story/details
The Babadook,A.O. Scott,86,100,"The brilliance of The Babadook, beyond Ms. Kent’s skillful deployment of the tried-and-true visual and aural techniques of movie horror, lies in its interlocking ambiguities.","Nov 28, 2014",http://www.metacritic.com/movie/the-babadook/details
What Now? Remind Me,Jeannette Catsoulis,86,100,"Gentle on the eyes but stirring to the mind, What Now? Remind Me is an extraordinary, almost indescribably personal reflection on life, love, suffering and impermanence.","Aug  7, 2014",http://www.metacritic.com/movie/what-now-remind-me/details
Meek's Cutoff,A.O. Scott,85,100,"Meek's Cutoff is as unsentimental and determined as Ms. Williams's character, its absolutely believable heroine. It is also a bracingly original foray into territory that remains, in every sense, unsettled.","Apr  7, 2011",http://www.metacritic.com/movie/meeks-cutoff/details
Sweet Smell of Success (re-release),Dana Stevens,100,100,Its pleasures are almost obscenely abundant.,,http://www.metacritic.com/movie/sweet-smell-of-success-re-release/details
Repulsion (re-release),Bosley Crowther,91,100,An absolute knockout of a movie in the psychological horror line has been accomplished by Roman Polanski in his first English-language film.  (Review of Original Release),,http://www.metacritic.com/movie/repulsion-re-release/details
Bridge of Spies,Manohla Dargis,81,100,"Like some of Mr. Spielberg’s other recent movies, notably “Lincoln” and “Munich,” this one is a meticulously detailed period piece that revisits the anxieties of the past while also speaking to those of the present. Yet it also feels lighter than those films, less weighted down by accreted history or maybe by a sense of duty to its significance.","Oct 15, 2015",http://www.metacritic.com/movie/bridge-of-spies/details
American Graffiti,,97,100,"American Graffiti exists not so much in its individual stories as in its orchestration of many stories, its sense of time and place. Although it is full of the material of fashionable nostalgia, it never exploits nostalgia. In its feeling for movement and music and the vitality of the night—and even in its vision in white—it is oddly closer to some early Fellini than to the recent American past of, say, The Last Picture Show or Summer of '42.",,http://www.metacritic.com/movie/american-graffiti/details
Embrace of the Serpent,Stephen Holden,82,100,"Viewed largely through the aggrieved eyes of a shaman whose tribe is on the verge of extinction at the hands of Colombian rubber barons in the 19th and 20th centuries, Embrace of the Serpent, a fantastical mixture of myth and historical reality, shatters lingering illusions of first-world culture as more advanced than any other, except technologically.","Feb 18, 2016",http://www.metacritic.com/movie/embrace-of-the-serpent/details
Virunga,Jeannette Catsoulis,95,100,"Showcasing the best and the worst in human nature, Orlando von Einsiedel’s devastating documentary “Virunga” wrenches a startlingly lucid narrative from a sickening web of bribery, corruption and violence.","Nov  6, 2014",http://www.metacritic.com/movie/virunga/details
Days of Being Wild (re-release),Manohla Dargis,96,100,"As he (Wong Kar-wai) floods the screen with beauty and fills the soundtrack with hypnotic rhythms, he forges a filmmaking style of incomparable eroticism.",,http://www.metacritic.com/movie/days-of-being-wild-re-release/details
Theeb,Stephen Holden,80,100,"In Jacir Eid’s extraordinary performance, Theeb exhibits the composure, bravery and cunning of a little savage driven by animal instinct.","Nov  5, 2015",http://www.metacritic.com/movie/theeb/details
Policeman,Manohla Dargis,79,100,"In Policeman, Mr. Lapid, making an electrifying feature directing debut, traces the line between the group and the individual in a story that can be read as a commentary on the world as much as on Israel.","Jun 12, 2014",http://www.metacritic.com/movie/policeman/details
