movie,reviewer,metascore,review_score,review_text,review_date,details
Higher Ground,A.O. Scott,74,80,"There is something remarkable - you might even say miraculous - about the way Higher Ground makes its gentle, thoughtful way across the burned-over terrain of the American culture wars.","Aug 25, 2011",http://www.metacritic.com/movie/higher-ground/details
In the Pit,Manohla Dargis,61,80,"With In the Pit [Rulfo] isn't advancing any totalizing theory, a treatise on transportation or an argument about alienation; he is, rather simply and elegantly, revealing the secret human face of a seemingly inhuman world.",,http://www.metacritic.com/movie/in-the-pit/details
Viva,Stephen Holden,69,80,It infuses a too-familiar story with so much heart that you surrender to its charm and forgive it for being unabashedly formulaic.,"Apr 28, 2016",http://www.metacritic.com/movie/viva/details
The Witness,Andy Webster,79,80,"A re-creation of the night, with an actress playing the screaming victim while Mr. Genovese observes, is harrowing.","Jun  2, 2016",http://www.metacritic.com/movie/the-witness/details
Piglet's Big Movie,Stephen Holden,62,80,"In the knockabout world of animated movies, Piglet's Big Movie is an oasis of gentleness and wit.",,http://www.metacritic.com/movie/piglets-big-movie/details
My First Mister,Lawrence Van Gelder,48,80,"Leelee Sobieski and Albert Brooks, especially Mr. Brooks, deliver outstanding performances in the first feature film to be directed by Ms. Lahti.",,http://www.metacritic.com/movie/my-first-mister/details
Suffragette,A.O. Scott,67,80,"Suffragette is an admirably modest movie. It does not quite have the grandeur and force of “Selma,” and the script has a few too many glowingly emotive speeches. The final turns of the tale are suspenseful, but also a bit frantic. But it is also stirring and cleareyed — the best kind of history lesson.","Oct 22, 2015",http://www.metacritic.com/movie/suffragette/details
Coriolanus,Manohla Dargis,79,80,"Then too there's the sheer pleasure of hearing these words spoken by an actor like Mr. Fiennes, whose phrasing is so brilliant, you might be tempted to close your eyes if his physical performance weren't equally mesmerizing.","Dec  1, 2011",http://www.metacritic.com/movie/coriolanus/details
Death Race,Nathan Lee,43,80,"The movie is legitimately greasy, authentically nasty, with a good old-fashioned sense of laying waste to everything in sight -- including the shallow philosophizing and computer-generated fakery that have overrun the summer blockbuster.",,http://www.metacritic.com/movie/death-race/details
Fierce Creatures,Elvis Mitchell,62,80,"The real fun here comes from watching Mr. Kline bounding through two archly good performances, Mr. Cleese coming hilariously unstrung in the presence of Ms. Curtis and all those adorable animals.",,http://www.metacritic.com/movie/fierce-creatures/details
Merci pour le Chocolat,A.O. Scott,82,80,"Mr. Chabrol's droll assault on petit-bourgeois security feels like a satire of ""Ordinary People"" directed by Alfred Hitchcock.",,http://www.metacritic.com/movie/merci-pour-le-chocolat/details
The Good Lie,Stephen Holden,65,80,"For all its softening, The Good Lie, like “Monsieur Lazhar,” has a core of decency, humanity and good will that feels authentic. You won’t curse yourself for occasionally tearing up.","Oct  2, 2014",http://www.metacritic.com/movie/the-good-lie/details
Dislecksia: The Movie,Daniel M. Gold,67,80,"The film’s primary mission is to destigmatize dyslexia, and it achieves that admirably, presenting technical material with a light touch and compassion.","Oct  3, 2013",http://www.metacritic.com/movie/dislecksia-the-movie/details
28 Days Later...,Dana Stevens,73,80,"Mr. Boyle has hardly lost his sly, provocative perversity or his ear for the rhythms of unchecked violence, but he does seem to be maturing. It's as if, in contemplating the annihilation of the human race, he has discovered his inner humanist.",,http://www.metacritic.com/movie/28-days-later/details
Hanna Ranch,Andy Webster,71,80,"Like many tragic visionaries, Kirk Hanna lives on through his ideas long after his death.","May 15, 2014",http://www.metacritic.com/movie/hanna-ranch/details
The Constant Gardener,Dana Stevens,82,80,This is a supremely well-executed piece of popular entertainment that is likely to linger in your mind and may even trouble your conscience.,,http://www.metacritic.com/movie/the-constant-gardener/details
Knafayim Shvurot,Stephen Holden,75,80,"The movie's sense of emotional claustrophobia is underscored by a complete lack of interest in Middle Eastern politics, or in anything outside the troubled family unit.",,http://www.metacritic.com/movie/knafayim-shvurot/details
L.A. Story,Vincent Canby,66,80,"Basically decent, intelligent and sweet. It's a fanciful romantic comedy whose wildest and craziest notion is that Los Angeles, for all of its eccentricities, is a great place to live.",,http://www.metacritic.com/movie/la-story/details
Big River Man,Manohla Dargis,68,80,"As his attention to detail and beauty shots prove, Mr. Maringouin has a terrific eye: he brings you close to Mr. Strel, sometimes within panting distance, without forgetting the larger, lovelier world.",,http://www.metacritic.com/movie/big-river-man/details
Wonder Woman,A.O. Scott,76,80,"Its earnest insouciance recalls the “Superman” movies of the ’70s and ’80s more than the mock-Wagnerian spectacles of our own day, and like those predigital Man of Steel adventures, it gestures knowingly but reverently back to the jaunty, truth-and-justice spirit of an even older Hollywood tradition.","May 31, 2017",http://www.metacritic.com/movie/wonder-woman/details
Cujo,Janet Maslin,57,80,"As directed by Lewis Teague, Cujo is by no means a horror classic, but it's suspenseful and scary. The performances are simple and effective, particularly Miss Wallace's. And Danny Pintauro does a good job as the frightened child.",,http://www.metacritic.com/movie/cujo/details
Watermarks,Stephen Holden,67,80,"A moving documentary that approaches the Holocaust from a fresh, intimate perspective.",,http://www.metacritic.com/movie/watermarks/details
Scent of a Woman,Elvis Mitchell,59,80,The good thing is that the principals and film makers make the absolute most of a conventional opportunity.,,http://www.metacritic.com/movie/scent-of-a-woman/details
Learning to Drive,Stephen Holden,59,80,"As this movie, directed by Isabel Coixet, tracks the deepening friendship between people from different cultures and backgrounds, it acquires an unforced metaphorical resonance.","Aug 20, 2015",http://www.metacritic.com/movie/learning-to-drive/details
Bringing Out the Dead,Elvis Mitchell,70,80,"An intense, volatile film full of sorrow and wild, mordant humor.",,http://www.metacritic.com/movie/bringing-out-the-dead/details
Days of Glory,A.O. Scott,82,80,"It is a chronicle of courage and sacrifice, of danger and solidarity, of heroism and futility, told with power, grace and feeling and brought alive by first-rate acting. A damn good war movie.",,http://www.metacritic.com/movie/days-of-glory/details
"Cry, the Beloved Country",Stephen Holden,71,80,"Because movies have become so invested in the unleashing of violent emotion and the escalation of hostility, that expressions of restraint, reconciliation and forgiveness can easily be read as corny cop-outs.  Cry, the Beloved Country is not corny, and it doesn't cop out.",,http://www.metacritic.com/movie/cry-the-beloved-country/details
Lagaan: Once Upon a Time in India,Dave Kehr,84,80,"Lagaan may look na&#239;ve; it is anything but. This is a movie that knows its business &#151; pleasing a broad, popular audience -- and goes about it with savvy professionalism and genuine flair.",,http://www.metacritic.com/movie/lagaan-once-upon-a-time-in-india/details
"Police, Adjective",A.O. Scott,81,80,"So much in this meticulous and moving film is between the lines, and almost nothing is by the book.",,http://www.metacritic.com/movie/police-adjective/details
Revolution #9,Dana Stevens,63,80,"An unadorned, unsparing chronicle of a young man's descent into a nightmare of delusion, paranoia and self-destructive behavior.",,http://www.metacritic.com/movie/revolution-9/details
Jean-Michel Basquiat: The Radiant Child,Stephen Holden,74,80,It places Basquiat's art in a cultural context with an enthusiasm and zest that make the many pictures shown come blazingly alive.,,http://www.metacritic.com/movie/jean-michel-basquiat-the-radiant-child/details
Searching for Sugar Man,Manohla Dargis,79,80,"A hugely appealing documentary about fans, faith and an enigmatic Age of Aquarius musician who burned bright and hopeful before disappearing.","Jul 26, 2012",http://www.metacritic.com/movie/searching-for-sugar-man/details
dream/killer,Ken Jaworowski,tbd,80,"Though the timeline and a few details could use further clarification, dream/killer remains fast-paced and frightening.","Dec  3, 2015",http://www.metacritic.com/movie/dreamkiller/details
Shotgun Stories,,76,80,The film is a here-and-now American potboiler and a stripped-down parable that can be appreciated by any culture.,,http://www.metacritic.com/movie/shotgun-stories/details
Catfight,Jeannette Catsoulis,66,80,"The two leads are mesmerizing, hurling themselves into their physically demented roles with ferocious commitment.","Mar  2, 2017",http://www.metacritic.com/movie/catfight/details
Mille soleils (A Thousand Suns),A.O. Scott,tbd,80,"Heartbreaking and thought-provoking, Mille Soleils traces connections between Senegal’s past and present, and reflects on a cinematic legacy that remains insufficiently appreciated, in the West and perhaps also in Africa.","Jan 20, 2015",http://www.metacritic.com/movie/mille-soleils-a-thousand-suns/details
The Time That Remains,A.O. Scott,74,80,The Time That Remains has the scope of a historical epic with none of the expected heaviness.,"Jan  6, 2011",http://www.metacritic.com/movie/the-time-that-remains/details
The Legend of Tarzan,Manohla Dargis,44,80,"The Legend of Tarzan has a whole lot of fun, big-screen things going for it — adventure, romance, natural landscapes, digital animals and oceans of rippling handsome man-muscle. Its sweep and easy pleasures come from its old-fashioned escapades — it’s one long dash through the jungle by foot, train, boat and swinging vine — but what makes it more enjoyable than other recycled stories of this type is that the filmmakers have given Tarzan a thoughtful, imperfect makeover.","Jun 30, 2016",http://www.metacritic.com/movie/the-legend-of-tarzan/details
Oliver Twist,Dana Stevens,65,80,"With tact and enthusiasm, Mr. Polanski grabs hold of a great book and rediscovers its true and enduring vitality.",,http://www.metacritic.com/movie/oliver-twist/details
Pola X,Stephen Holden,65,80,"Pola X has enough fireworks to keep you in your seat. When it's over, you'll know you've had an experience.",,http://www.metacritic.com/movie/pola-x/details
"Black Cat, White Cat",Elvis Mitchell,73,80,Made with such overriding jubilation that its coarseness is mostly liberating...well worth admiring for its sheer glee.,,http://www.metacritic.com/movie/black-cat-white-cat/details
Iron Monkey,Dave Kehr,79,80,"Saving the big number for the climax, like any good musical director, Mr. Yuen finishes up with a spectacular variation on the traditional kung fu pole fight.",,http://www.metacritic.com/movie/iron-monkey/details
The Way He Looks,Andy Webster,71,80,"This winning movie — directed by Daniel Ribeiro, making his feature debut — dexterously weaves the social challenges of adolescence into a story of broader self-discovery.","Nov  6, 2014",http://www.metacritic.com/movie/the-way-he-looks/details
Guest of Cindy Sherman,Nathan Lee,64,80,"At once a fascinating behind-the-scenes glimpse, bittersweet autobiography and witty trip down art-world memory lane, Guest of Cindy Sherman isn't out to settle scores or exploit access, public or otherwise.",,http://www.metacritic.com/movie/guest-of-cindy-sherman/details
Barking Water,Stephen Holden,tbd,80,The quiet humanity of the performances infuses the movie with a truthfulness that outweighs its flaws.,,http://www.metacritic.com/movie/barking-water/details
The Goebbles Experiment,Jeannette Catsoulis,67,80,A rare and chilling glimpse into a brilliant but toxic mind.,,http://www.metacritic.com/movie/the-goebbles-experiment/details
The Fall of Fujimori,Dana Stevens,73,80,A cautionary essay on the risks to democracy posed by the fight against terrorism.,,http://www.metacritic.com/movie/the-fall-of-fujimori/details
The Sweet Hereafter,Elvis Mitchell,90,80,"The filmmaker creates schematic, intuitive images that hauntingly crystallize the characters' situations.",,http://www.metacritic.com/movie/the-sweet-hereafter/details
U-Carmen e-Khayelitsha,,74,80,"Mr. Hazlewood’s strategy also draws attention to the lack of psychological detail in the central love triangle, which isn’t good. But the music still pierces, the blood still flows, and the overall conception is so original that even when the movie falters in the moment, it dazzles in the memory.",,http://www.metacritic.com/movie/u-carmen-e-khayelitsha/details
Cold Mountain,Dana Stevens,73,80,"The result is a mountain of honest, nourishing corn, a lavish evocation of simplicity that, for all its showy sophistication, has an appealing emotional directness. For all its sweep and scope and movie-star magic, Cold Mountain is studded with fine small moments and deft supporting performances.",,http://www.metacritic.com/movie/cold-mountain/details
Big Fan,Manohla Dargis,70,80,A spasmodically funny and bleak film about the love that speaks its name.,,http://www.metacritic.com/movie/big-fan/details
The Night Larry Kramer Kissed Me,Lawrence Van Gelder,67,80,"Mr. Drake can be rivetingly angry, intense, frenetic, frank and touching.",,http://www.metacritic.com/movie/the-night-larry-kramer-kissed-me/details
Private Fears in Public Places,Manohla Dargis,77,80,"The film is accessible, pleasant, dreamy, a touch goofy and melancholic. Its modernist gestures are little more than stylistic tics, but there's an image of snow falling on two clasped hands that is almost rapturous. The role of the artist remains, for Mr. Resnais, the role of a lifetime.",,http://www.metacritic.com/movie/private-fears-in-public-places/details
The Lottery,Jeannette Catsoulis,72,80,"Ignoring critical issues like financial transparency, Ms. Sackler sells her viewpoint with four admirable, striving families, each of whose tots could charm the fleas off a junkyard dog.",,http://www.metacritic.com/movie/the-lottery/details
Samsara,A.O. Scott,65,80,"A spool of arresting, beautifully composed shots without narration or dialogue, Samsara is an invitation to watch closely and to suspend interpretation (another notion Sontag might have approved).","Aug 23, 2012",http://www.metacritic.com/movie/samsara/details
Pelican Dreams,Neil Genzlinger,66,80,Judy Irving injects just enough of herself into her Pelican Dreams to distinguish this sweet film from an episode of the PBS series “Nature.”,"Nov  6, 2014",http://www.metacritic.com/movie/pelican-dreams/details
Following the Ninth: In the Footsteps of Beethoven's Final Symphony,Daniel M. Gold,72,80,All the film’s segments are smartly assembled and gracefully paced.,"Oct 31, 2013",http://www.metacritic.com/movie/following-the-ninth-in-the-footsteps-of-beethovens-final-symphony/details
Let's Get Lost,Janet Maslin,85,80,"Chet Baker's face, and the extraordinary ways in which Bruce Weber has photographed it, encapsulate the story of Baker's life in a succession of ghostly, indelible images that are at once hauntingly beautiful and desperately sad.",,http://www.metacritic.com/movie/lets-get-lost/details
Marie Antoinette,A.O. Scott,65,80,"A thoroughly modern confection, blending insouciance and sophistication, heartfelt longing and self-conscious posing with the guileless self-assurance of a great pop song. What to do for pleasure? Go see this movie, for starters.",,http://www.metacritic.com/movie/marie-antoinette/details
Julieta,A.O. Scott,73,80,"Julieta is scrupulous, compassionate and surprising, even if it does not always quite communicate the full gravity and sweep of the feelings it engages.","Dec 20, 2016",http://www.metacritic.com/movie/julieta/details
Macbeth,,51,80,For four centuries William Shakespeare’s plays have been reinvented to fit contemporary sensibilities. But few recent efforts can match the Australian writer and director Geoffrey Wright’s brutal and thrilling new version.,,http://www.metacritic.com/movie/macbeth/details
Lambert & Stamp,A.O. Scott,75,80,"A loving, freewheeling new documentary by James D. Cooper, tells this origin story with panache and nostalgia.","Apr  2, 2015",http://www.metacritic.com/movie/lambert-stamp/details
Fast Five,Manohla Dargis,66,80,"In a free-for-all like this, where the laws of gravity and dictates of narrative logic are left to eat dust, it doesn't matter when anything takes place or why.","Apr 28, 2011",http://www.metacritic.com/movie/fast-five/details
The Wood,Stephen Holden,52,80,"Famuyiwa's dialogue is easygoing and witty, and the warmhearted comic performances mesh beautifully.",,http://www.metacritic.com/movie/the-wood/details
Go,Elvis Mitchell,72,80,He (Liman) creates a film that lives up to the momentum of its title and doesn't really need much more.,,http://www.metacritic.com/movie/go/details
The Autopsy of Jane Doe,Jeannette Catsoulis,65,80,"Gruesome without being gory, The Autopsy of Jane Doe achieves real scares with a minimum of special effects.","Dec 20, 2016",http://www.metacritic.com/movie/the-autopsy-of-jane-doe/details
Barrymore,Manohla Dargis,61,80,"Mr. Plummer stumbles beautifully, poignantly and often, leering and searching through a haze of memory or, with concern edged with panic, calling for ""a line, a line"" much as Richard III calls for a horse.","Nov 14, 2012",http://www.metacritic.com/movie/barrymore/details
Chaos,Stephen Holden,81,80,"There is not a decent (or even half-decent) male character to be found in Chaos, a gripping feminist fable with a savage comic edge.",,http://www.metacritic.com/movie/chaos-2003-1/details
Buffalo '66,Elvis Mitchell,68,80,"Cool, stark compositions and the occasional audacious visual trick give Buffalo '66 a memorable look even when its narrative enters the occasional uneventful stretch.",,http://www.metacritic.com/movie/buffalo-66/details
Benjamin Smoke,Dana Stevens,71,80,"The film has a richer, more various visual texture than most documentaries, combining still photographs, black-and-white video and Super-8 film, sometimes with wild sound or none at all.",,http://www.metacritic.com/movie/benjamin-smoke/details
Anywhere But Here,Janet Maslin,59,80,"Wang once again works splendidly with actresses, and boy, does he have a lot to work with this time.",,http://www.metacritic.com/movie/anywhere-but-here/details
Gerry,Stephen Holden,54,80,"With all its quirks, Gerry seeps into your pores like the wind-whipped sand that stings the faces of these disoriented hikers.",,http://www.metacritic.com/movie/gerry/details
The Messenger,Helen T. Verongos,76,80,"Overall, the arguments are persuasive, the message from the birds powerful, and the film a rich and satisfying call to action that is presented with some novel ideas for how to restore the ecological balance.","Dec  3, 2015",http://www.metacritic.com/movie/the-messenger-2015/details
Standing Tall,Stephen Holden,59,80,Mr. Paradot’s performance is so viscerally intense that there is no escaping its force.,"Mar 31, 2016",http://www.metacritic.com/movie/standing-tall/details
Honey,Stephen Holden,75,80,"Honey, the impressive debut feature by Ms. Golino, sustains a contemplative mood with undersaturated cinematography that evokes the world as perceived through a light mist.","Mar  6, 2014",http://www.metacritic.com/movie/honey-2014/details
La Promesse (The Promise),Stephen Holden,82,80,"The integrity of the film, whose directorial team has collaborated on numerous Belgian documentaries, extends to its sad final moments, in which nothing is left neat and tidy.",,http://www.metacritic.com/movie/la-promesse-the-promise/details
Promises,Julie Salamon,80,80,"Demonstrates the unusual power of thoughtful, subjective filmmaking.",,http://www.metacritic.com/movie/promises/details
It Runs in the Family,Stephen Holden,44,80,"Jesse Wigutow's screenplay is one of those marvels of economy, idiomatic facility and well-chosen detail that knows exactly when to cut away from a scene without grinding it into your face.",,http://www.metacritic.com/movie/it-runs-in-the-family/details
Igby Goes Down,Stephen Holden,72,80,"Although Igby has its share of glitches and tonal inconsistencies, it packs an emotional wallop similar to that of another cultural golden oldie as beloved in its way as ""The Catcher in the Rye"": ""The Graduate.""",,http://www.metacritic.com/movie/igby-goes-down/details
Postcards from the Edge,Vincent Canby,71,80,"Postcards From the Edge seems to have been a terrifically genial collaboration between the writer and the director, Miss Fisher's tale of odd-ball woe being perfect material for Mr. Nichols's particular ability to discover the humane sensibility within the absurd.",,http://www.metacritic.com/movie/postcards-from-the-edge/details
Miss Stevens,Stephen Holden,65,80,Ms. Rabe’s beautifully balanced performance reminds you that people never really grow up.,"Sep 15, 2016",http://www.metacritic.com/movie/miss-stevens/details
Cabaret,,80,80,Cabaret is one of those immensely gratifying imperfect works in which from beginning to end you can literally feel a movie coming to life.,,http://www.metacritic.com/movie/cabaret/details
21 Years: Richard Linklater,Andy Webster,51,80,"The luminaries in “21” pay deserving tribute to Mr. Linklater. Soon, perhaps, so will the Academy","Nov  6, 2014",http://www.metacritic.com/movie/21-years-richard-linklater/details
Bethlehem,Manohla Dargis,68,80,"Bethlehem is emphatically political, as perhaps any movie about warring Israelis and Palestinians must be. Yet its ideas are more complex than is suggested by either its schematic story or fast-moving genre elements.","Mar  6, 2014",http://www.metacritic.com/movie/bethlehem/details
Used Cars,Vincent Canby,68,80,"A foul-mouthed, bumpercrunching farce that is often funnier in theory than in fact but, even so, is a movie that has more laughs in it than any film of the summer except ""Airplane!"" It wipes out ""The Blues Brothers,"" ""Caddyshack,"" ""Up the Academy,"" ""Where the Buffalo Roam"" and just about every other recent comedy aimed, I assume, at an otherwise television-hooked public.",,http://www.metacritic.com/movie/used-cars/details
An Inconvenient Sequel: Truth to Power,Ben Kenigsberg,68,80,"In a summer movie landscape with Spider-Man, a simian army waging further battle for the planet and Charlize Theron as a sexy Cold War-era superspy, it says something that one of the most compelling characters is Al Gore.","Jul 27, 2017",http://www.metacritic.com/movie/an-inconvenient-sequel-truth-to-power/details
Homegoings,Andy Webster,tbd,80,"Ms. Turner captures the intimacy of solemn, heartfelt moments, and salutes a man who honors their value.","Jun 24, 2013",http://www.metacritic.com/movie/homegoings/details
The Little Vampire,Lawrence Van Gelder,45,80,"Not often does a family film come along that is literate, clever, mischievous and just plain fun.",,http://www.metacritic.com/movie/the-little-vampire/details
Elevate,Andy Webster,67,80,"Mr. Fall, a former scout for the Dallas Mavericks, founded the Seeds Academy to nurture his countrymen. His conviction, level gaze and firm eloquence instill pride, drive and determination in his players. Mr. Fall, a coach on the court and in life, is the real champion here.","Oct 20, 2011",http://www.metacritic.com/movie/elevate/details
Strike,A.O. Scott,72,80,"Schlöndorff calls the film ""a ballad inspired by true events,"" and its occasional bouts of clumsiness and sentimentality are inseparable from its power.",,http://www.metacritic.com/movie/strike/details
Howl,A.O. Scott,63,80,"Not quite a biopic, not really a documentary and only loosely an adaptation, Howl does something that sounds simple until you consider how rarely it occurs in films of any kind. It takes a familiar, celebrated piece of writing and makes it come alive.",,http://www.metacritic.com/movie/howl/details
The Ister,Nathan Lee,75,80,"The Ister asks you not to think, but to think hard. Your reward, given in proportion to your level of attention, commitment and participation, is to see the simplest things in a new light, possessed of vast new dimensions.",,http://www.metacritic.com/movie/the-ister/details
Tape,Stephen Holden,71,80,"In portraying this threesome, Ethan Hawke, Robert Sean Leonard and Uma Thurman give the most psychologically acute performances of their film careers.",,http://www.metacritic.com/movie/tape/details
Daughters of the Dust,Stephen Holden,81,80,"For all its harsh allusions to slavery and hardship, the film is an extended, wildly lyrical meditation on the power of African cultural iconography and the spiritual resilience of the generations of women who have been its custodians.",,http://www.metacritic.com/movie/daughters-of-the-dust/details
He Got Game,Elvis Mitchell,63,80,"Basketball, bold urban landscapes, larger-than-life characters and red-hot visual pyrotechnics are the strong points of Mr. Lee's biggest three-ring circus, not to mention the central presence of Denzel Washington.",,http://www.metacritic.com/movie/he-got-game/details
Séraphine,A.O. Scott,84,80,"The mystery of Séraphine de Senlis -- who died in a mental hospital in 1942 and whose work survives in some of the world’s leading museums -- is left intact at the end of Séraphine. Rather than trying to explain Séraphine, the film accepts her.",,http://www.metacritic.com/movie/seraphine/details
Keepers of the Game,Andy Webster,tbd,80,"There are heroic adults here.... There is also deft editing, artful camerawork and effective music in abundance.","Apr 24, 2016",http://www.metacritic.com/movie/keepers-of-the-game/details
Nadja,Caryn James,64,80,"It is refreshing to see so much style and life in the old undead tale, and to watch this strong cast with its perfect deadpan attitudes.",,http://www.metacritic.com/movie/nadja/details
The Stanford Prison Experiment,Neil Genzlinger,67,80,"The experiment’s methodologies and meanings have been analyzed endlessly over the years, and the film doesn’t delve deeply into these interpretations and critiques. It doesn’t need to; this stark and riveting version of events speaks for itself.","Jul 16, 2015",http://www.metacritic.com/movie/the-stanford-prison-experiment/details
16 Blocks,Manohla Dargis,63,80,"Mr. Willis has always been an acquired taste, but for those who did acquire that taste, riding shotgun on his good times and bad, it's a pleasure to see him doing what comes naturally.",,http://www.metacritic.com/movie/16-blocks/details
Curse of the Golden Flower,Jeannette Catsoulis,70,80,"Since his debut in 1987 with ""Red Sorghum"" Mr. Zhang has made more controlled films but never one that's more fun. With Curse of the Golden Flower he aims for Shakespeare and winds up with Jacqueline Susann. And a good thing too.",,http://www.metacritic.com/movie/curse-of-the-golden-flower/details
Lilo & Stitch,Dana Stevens,73,80,"Hardly a work of state-of-the-art virtuosity, but rather an example of quiet, confident craftsmanship that tells a sweet, charming tale of intergalactic friendship.",,http://www.metacritic.com/movie/lilo-stitch/details
Afghan Star,Stephen Holden,78,80,The movie uses the talent show Afghan Star as a prism through which to examine the fragmented tribal culture of Afghanistan as reflected in the backgrounds of four finalists (two of them women) and the public responses to their performances.,,http://www.metacritic.com/movie/afghan-star/details
Angkor Awakens: A Portrait of Cambodia,Andy Webster,81,80,"The graphic evidence here, in testimony on camera and in period photographs, is absolutely harrowing.","May  4, 2017",http://www.metacritic.com/movie/angkor-awakens-a-portrait-of-cambodia/details
Soul Surfer,Andy Webster,53,80,"As a portrait of a spirited, resilient athlete, the movie succeeds best, unafraid to face its heroine's daunting challenges directly.","Apr  7, 2011",http://www.metacritic.com/movie/soul-surfer/details
Ip Man 2,Manohla Dargis,67,80,"Choreographed by the film martial-arts veteran Sammo Hung, the fights are spectacularly designed and performed, relying more on muscle and skill than wirework.","Jan 27, 2011",http://www.metacritic.com/movie/ip-man-2/details
Pauline and Paulette,Dana Stevens,70,80,"Rather than assaulting you with self-congratulatory tears, it leaves you with a bittersweet glow of wisdom and an appreciation of the small triumphs and difficult labors of love.",,http://www.metacritic.com/movie/pauline-and-paulette/details
Titanic Town,Stephen Holden,73,80,In its harshly realistic scenes... it stirs your blood.,,http://www.metacritic.com/movie/titanic-town/details
Bridge to Terabithia,Jeannette Catsoulis,74,80,"Consistently smart and delicate as a spider web, Bridge to Terabithia is the kind of children’s movie rarely seen nowadays. And at a time when many public schools are being forced to cut music and art from the curriculum, the story’s insistence on the healing power of a nurtured imagination is both welcome and essential.",,http://www.metacritic.com/movie/bridge-to-terabithia/details
Terror's Advocate,A.O. Scott,75,80,"It is one of the most engaging, morally unsettling political thrillers in quite some time, with the extra advantage of being true.",,http://www.metacritic.com/movie/terrors-advocate/details
Run & Jump,Stephen Holden,71,80,Run & Jump is as real and messy as life itself.,"Jan 23, 2014",http://www.metacritic.com/movie/run-jump/details
Murph: The Protector,Daniel M. Gold,60,80,Murph: The Protector reminds us of the valor expended on distant front lines and the holes left at home.,"Mar 22, 2013",http://www.metacritic.com/movie/murph-the-protector/details
El Norte,,67,80,This drama - a kind of cross between ''The Grapes of Wrath'' and the rich textures of Gabriel Garcia Marquez's tales - focuses on two oppressed but hopeful Guatemalan Indians who flee to the United States.,,http://www.metacritic.com/movie/el-norte/details
Patema Inverted,Jeannette Catsoulis,66,80,"The music is lovely, and the animation is soft and imaginatively detailed. Patema and Age may not know what’s upside down or right-way up, but their director is never in any doubt.","Aug 28, 2014",http://www.metacritic.com/movie/patema-inverted/details
Animal House,Janet Maslin,82,80,"National Lampoon's Animal House is by no means one long howl, but it's often very funny, with gags that are effective in a dependable, all-purpose way.",,http://www.metacritic.com/movie/animal-house/details
In Paris,Manohla Dargis,60,80,"Picks up where the early François Truffaut and his comrades-in-cinema left off -- with a playful, liberatory style, and a song (actually, a few) in his heart and on his actors’ lips.",,http://www.metacritic.com/movie/in-paris/details
L.I.E.,Dana Stevens,73,80,"At its best, L.I.E. offers a rich, dark, bitter slice of contemporary life. But the film's arty embellishments undermine its bleak vision, making it, in the end, a little too easy to take.",,http://www.metacritic.com/movie/lie/details
Raze,Neil Genzlinger,41,80,"If you can stand to watch this movie — a big if — there is food for thought here about the subjugation and exploitation of women, the limits of psychological and physical endurance, and more.","Jan  9, 2014",http://www.metacritic.com/movie/raze/details
Mission: Impossible,Stephen Holden,59,80,"A sleek, whooshingly entertaining update of the vintage television series.",,http://www.metacritic.com/movie/mission-impossible/details
Murderball,Stephen Holden,87,80,"The evenness of its emotional pitch almost incidentally helps the film become an unusually deep exploration of sports, machismo and the competitive spirit.",,http://www.metacritic.com/movie/murderball/details
That Thing You Do!,Elvis Mitchell,71,80,"Mr. Hanks's debut feature, written and directed with delightful good cheer, is rock-and-roll nostalgia presented as pure fizz.",,http://www.metacritic.com/movie/that-thing-you-do!/details
Too Late,Ken Jaworowski,54,80,"Mr. Hauck’s affection is apparent in every frame, yet outside of an occasionally clunky line or show-offy moment (O.K., sometimes it’s more occasional than just occasionally), he rarely allows it to alter his aim. That aim is to make a modern noir. That aim is true.","Mar 31, 2016",http://www.metacritic.com/movie/too-late/details
The Crossing Guard,Elvis Mitchell,46,80,"But Mr. Penn mostly keeps a tight, impassioned grip on this material, preventing it from wandering too far afield. The influence of John Cassavetes is again clear in the characters' emotional sparring, which has energy and heart.",,http://www.metacritic.com/movie/the-crossing-guard/details
A Mother's Courage: Talking Back to Autism,Andy Webster,76,80,"There is no pat resolution here, but the sight of a mother finally able to connect with her child across autism's chasm is more than stirring.",,http://www.metacritic.com/movie/a-mothers-courage-talking-back-to-autism/details
Upstream Color,Manohla Dargis,81,80,"With its fragmentation and mysteries, Upstream Color offers itself up as a puzzle as well as a philosophical toy that you can spin and spin until the cafe closes and kicks you into the night.","Apr  4, 2013",http://www.metacritic.com/movie/upstream-color/details
Liar Liar,Elvis Mitchell,70,80,Two little words: Jim Carrey. That's all it takes to transform Liar Liar from a formulaic Hollywood comedy into an uproarious one-man free-for-all.,,http://www.metacritic.com/movie/liar-liar/details
The Golden Bowl,Stephen Holden,62,80,"If this handsome, faithful, intelligent screen adaptation of the novel doesn't leave you devastated, its ominous sense of a rarefied moral and aesthetic world bending before the accelerating streetcar of history will leave you with a mournful sense of loss.",,http://www.metacritic.com/movie/the-golden-bowl/details
Sophie Scholl: The Final Days,Stephen Holden,76,80,"This gripping true story, directed in a cool, semi-documentary style by the German filmmaker Marc Rothemund from a screenplay by Fred Breinersdorfer, challenges you to gauge your own courage and strength of character should you find yourself in similar circumstances.",,http://www.metacritic.com/movie/sophie-scholl-the-final-days/details
